id,spot_name,ymd,pm10,pm25,O3,NO2,CO,SO2,vol
1,종로구,2021-01-01 00:00,26.0,14.0,0.024,0.015,0.5,0.003,25.0
2,용산구,2021-01-01 00:00,36.0,11.0,0.017,0.017,0.4,0.003,162.0
3,중구,2021-01-01 00:00,29.0,16.0,0.018,0.021,0.5,0.003,116.0
4,은평구,2021-01-01 00:00,32.0,11.0,0.021,0.018,0.5,0.004,215.0
6,마포구,2021-01-01 00:00,23.0,12.0,0.011,0.029,0.5,0.003,30.0
7,도봉구,2021-01-01 00:00,15.0,12.0,0.027,0.011,0.3,0.002,16.0
8,노원구,2021-01-01 00:00,24.0,13.0,0.023,0.019,0.5,0.003,126.0
9,광진구,2021-01-01 00:00,27.0,13.0,0.018,0.015,0.5,0.0,16.0
11,중랑구,2021-01-01 00:00,21.0,11.0,0.02,0.022,0.5,0.004,56.0
12,동대문구,2021-01-01 00:00,19.0,12.0,0.025,0.016,0.4,0.004,17.0
13,성북구,2021-01-01 00:00,13.0,9.0,0.019,0.022,0.0,0.004,11.0
15,영등포구,2021-01-01 00:00,26.0,16.0,0.016,0.022,0.5,0.003,20.0
16,동작구,2021-01-01 00:00,33.0,18.0,0.018,0.022,0.4,0.003,48.0
17,관악구,2021-01-01 00:00,25.0,13.0,0.014,0.028,0.5,0.004,197.0
18,금천구,2021-01-01 00:00,31.0,19.0,0.015,0.026,0.5,0.003,0.0
19,강서구,2021-01-01 00:00,33.0,19.0,0.019,0.023,0.3,0.006,4.0
20,양천구,2021-01-01 00:00,35.0,19.0,0.012,0.03,0.5,0.004,43.0
21,구로구,2021-01-01 00:00,31.0,13.0,0.015,0.027,0.4,0.004,29.0
22,강남구,2021-01-01 00:00,22.0,15.0,0.023,0.016,0.4,0.004,53.0
23,서초구,2021-01-01 00:00,24.0,10.0,0.024,0.016,0.3,0.004,125.0
24,송파구,2021-01-01 00:00,23.0,15.0,0.025,0.02,0.4,0.004,0.0
25,강동구,2021-01-01 00:00,25.0,15.0,0.024,0.018,0.4,0.002,13.0
26,종로구,2021-01-01 04:00,23.0,13.0,0.011,0.027,0.6,0.003,18.0
27,용산구,2021-01-01 04:00,27.0,9.0,0.012,0.019,0.4,0.002,51.0
28,중구,2021-01-01 04:00,22.0,13.0,0.021,0.018,0.4,0.003,55.0
29,은평구,2021-01-01 04:00,17.0,12.0,0.012,0.024,0.6,0.004,92.0
31,마포구,2021-01-01 04:00,18.0,10.0,0.011,0.027,0.5,0.003,9.0
32,도봉구,2021-01-01 04:00,0.0,14.0,0.007,0.031,0.5,0.002,11.0
33,노원구,2021-01-01 04:00,26.0,18.0,0.009,0.031,0.7,0.004,58.0
34,광진구,2021-01-01 04:00,24.0,15.0,0.007,0.024,0.6,0.0,5.0
36,중랑구,2021-01-01 04:00,20.0,11.0,0.016,0.021,0.5,0.003,26.0
37,동대문구,2021-01-01 04:00,19.0,13.0,0.01,0.033,0.6,0.003,6.0
38,성북구,2021-01-01 04:00,18.0,12.0,0.006,0.035,0.0,0.003,55.0
40,영등포구,2021-01-01 04:00,18.0,10.0,0.016,0.02,0.5,0.003,0.0
41,동작구,2021-01-01 04:00,21.0,12.0,0.013,0.03,0.4,0.003,19.0
42,관악구,2021-01-01 04:00,19.0,9.0,0.017,0.026,0.5,0.004,61.0
43,금천구,2021-01-01 04:00,18.0,11.0,0.008,0.035,0.5,0.003,0.0
44,강서구,2021-01-01 04:00,23.0,14.0,0.011,0.03,0.3,0.004,18.0
45,양천구,2021-01-01 04:00,23.0,13.0,0.015,0.026,0.5,0.003,19.0
46,구로구,2021-01-01 04:00,20.0,6.0,0.014,0.03,0.4,0.004,4.0
47,강남구,2021-01-01 04:00,17.0,12.0,0.015,0.024,0.5,0.004,18.0
48,서초구,2021-01-01 04:00,12.0,12.0,0.022,0.018,0.3,0.004,22.0
49,송파구,2021-01-01 04:00,21.0,13.0,0.016,0.028,0.5,0.004,0.0
50,강동구,2021-01-01 04:00,28.0,18.0,0.01,0.03,0.5,0.002,6.0
51,종로구,2021-01-01 08:00,30.0,18.0,0.002,0.041,0.8,0.003,97.0
52,용산구,2021-01-01 08:00,28.0,14.0,0.002,0.032,0.5,0.003,326.0
53,중구,2021-01-01 08:00,33.0,19.0,0.002,0.042,0.6,0.003,167.0
54,은평구,2021-01-01 08:00,20.0,11.0,0.005,0.03,0.6,0.004,330.0
56,마포구,2021-01-01 08:00,21.0,13.0,0.002,0.042,0.6,0.003,88.0
57,도봉구,2021-01-01 08:00,18.0,13.0,0.008,0.028,0.5,0.002,45.0
58,노원구,2021-01-01 08:00,28.0,19.0,0.002,0.043,0.8,0.004,194.0
59,광진구,2021-01-01 08:00,25.0,18.0,0.001,0.035,1.0,0.0,49.0
61,중랑구,2021-01-01 08:00,27.0,16.0,0.002,0.041,0.7,0.003,100.0
62,동대문구,2021-01-01 08:00,23.0,19.0,0.002,0.045,0.8,0.004,56.0
63,성북구,2021-01-01 08:00,23.0,17.0,0.003,0.039,0.0,0.003,100.0
65,영등포구,2021-01-01 08:00,21.0,14.0,0.002,0.039,0.6,0.004,44.0
66,동작구,2021-01-01 08:00,22.0,13.0,0.002,0.042,0.5,0.003,76.0
67,관악구,2021-01-01 08:00,12.0,8.0,0.001,0.046,0.6,0.003,227.0
68,금천구,2021-01-01 08:00,24.0,16.0,0.011,0.029,0.5,0.003,0.0
69,강서구,2021-01-01 08:00,21.0,13.0,0.008,0.034,0.3,0.003,41.0
70,양천구,2021-01-01 08:00,25.0,15.0,0.006,0.037,0.5,0.003,65.0
71,구로구,2021-01-01 08:00,21.0,11.0,0.005,0.039,0.4,0.004,0.0
72,강남구,2021-01-01 08:00,19.0,14.0,0.003,0.036,0.6,0.004,108.0
73,서초구,2021-01-01 08:00,15.0,11.0,0.008,0.034,0.4,0.004,161.0
74,송파구,2021-01-01 08:00,0.0,7.0,0.002,0.038,0.6,0.003,0.0
75,강동구,2021-01-01 08:00,31.0,21.0,0.002,0.038,0.6,0.002,14.0
76,종로구,2021-01-01 12:00,42.0,26.0,0.016,0.029,0.7,0.002,89.0
77,용산구,2021-01-01 12:00,39.0,21.0,0.015,0.022,0.5,0.003,668.0
78,중구,2021-01-01 12:00,36.0,22.0,0.013,0.032,0.5,0.004,346.0
79,은평구,2021-01-01 12:00,18.0,14.0,0.024,0.021,0.5,0.004,662.0
81,마포구,2021-01-01 12:00,34.0,29.0,0.015,0.03,0.6,0.003,161.0
82,도봉구,2021-01-01 12:00,32.0,27.0,0.011,0.031,0.5,0.003,89.0
83,노원구,2021-01-01 12:00,32.0,26.0,0.017,0.027,0.6,0.003,484.0
84,광진구,2021-01-01 12:00,29.0,20.0,0.012,0.029,0.6,0.0,111.0
86,중랑구,2021-01-01 12:00,31.0,18.0,0.012,0.034,0.6,0.004,271.0
87,동대문구,2021-01-01 12:00,29.0,22.0,0.016,0.031,0.6,0.004,56.0
88,성북구,2021-01-01 12:00,32.0,22.0,0.01,0.038,0.0,0.004,95.0
90,영등포구,2021-01-01 12:00,27.0,16.0,0.015,0.029,0.6,0.004,158.0
91,동작구,2021-01-01 12:00,26.0,16.0,0.022,0.019,0.4,0.004,181.0
92,관악구,2021-01-01 12:00,18.0,11.0,0.019,0.025,0.5,0.004,427.0
93,금천구,2021-01-01 12:00,30.0,24.0,0.022,0.023,0.5,0.004,0.0
94,강서구,2021-01-01 12:00,25.0,14.0,0.017,0.031,0.3,0.004,37.0
95,양천구,2021-01-01 12:00,29.0,17.0,0.016,0.032,0.5,0.004,116.0
96,구로구,2021-01-01 12:00,23.0,14.0,0.021,0.025,0.4,0.004,62.0
97,강남구,2021-01-01 12:00,19.0,14.0,0.014,0.029,0.6,0.004,102.0
98,서초구,2021-01-01 12:00,20.0,13.0,0.021,0.022,0.3,0.004,430.0
99,송파구,2021-01-01 12:00,29.0,27.0,0.021,0.027,0.5,0.005,0.0
100,강동구,2021-01-01 12:00,26.0,18.0,0.021,0.021,0.4,0.003,18.0
101,종로구,2021-01-01 16:00,33.0,19.0,0.03,0.015,0.4,0.004,94.0
102,용산구,2021-01-01 16:00,33.0,15.0,0.017,0.022,0.4,0.003,670.0
103,중구,2021-01-01 16:00,29.0,18.0,0.027,0.018,0.4,0.003,361.0
104,은평구,2021-01-01 16:00,29.0,15.0,0.032,0.014,0.5,0.004,729.0
106,마포구,2021-01-01 16:00,19.0,15.0,0.022,0.025,0.4,0.004,206.0
107,도봉구,2021-01-01 16:00,18.0,15.0,0.029,0.013,0.3,0.002,106.0
108,노원구,2021-01-01 16:00,30.0,21.0,0.028,0.021,0.4,0.003,582.0
109,광진구,2021-01-01 16:00,24.0,16.0,0.015,0.024,0.5,0.0,147.0
111,중랑구,2021-01-01 16:00,24.0,12.0,0.02,0.026,0.5,0.004,338.0
112,동대문구,2021-01-01 16:00,23.0,17.0,0.026,0.018,0.4,0.003,51.0
113,성북구,2021-01-01 16:00,21.0,12.0,0.021,0.023,0.0,0.004,91.0
115,영등포구,2021-01-01 16:00,25.0,18.0,0.023,0.02,0.5,0.004,193.0
116,동작구,2021-01-01 16:00,28.0,20.0,0.026,0.022,0.4,0.003,184.0
117,관악구,2021-01-01 16:00,24.0,14.0,0.021,0.026,0.5,0.003,448.0
118,금천구,2021-01-01 16:00,28.0,17.0,0.027,0.019,0.4,0.004,0.0
119,강서구,2021-01-01 16:00,27.0,16.0,0.03,0.017,0.3,0.006,32.0
120,양천구,2021-01-01 16:00,32.0,19.0,0.023,0.024,0.5,0.005,159.0
121,구로구,2021-01-01 16:00,29.0,16.0,0.025,0.022,0.3,0.004,59.0
122,강남구,2021-01-01 16:00,18.0,16.0,0.023,0.021,0.4,0.004,96.0
123,서초구,2021-01-01 16:00,28.0,21.0,0.025,0.021,0.3,0.004,450.0
124,송파구,2021-01-01 16:00,25.0,13.0,0.023,0.033,0.5,0.006,0.0
125,강동구,2021-01-01 16:00,32.0,22.0,0.021,0.024,0.4,0.003,17.0
126,종로구,2021-01-01 20:00,27.0,17.0,0.019,0.024,0.5,0.003,96.0
127,용산구,2021-01-01 20:00,30.0,14.0,0.012,0.026,0.5,0.003,335.0
128,중구,2021-01-01 20:00,29.0,19.0,0.017,0.029,0.5,0.003,204.0
129,은평구,2021-01-01 20:00,27.0,20.0,0.015,0.029,0.7,0.004,510.0
131,마포구,2021-01-01 20:00,19.0,11.0,0.012,0.038,0.6,0.003,144.0
132,도봉구,2021-01-01 20:00,27.0,21.0,0.014,0.026,0.4,0.002,67.0
133,노원구,2021-01-01 20:00,30.0,21.0,0.015,0.032,0.5,0.003,324.0
134,광진구,2021-01-01 20:00,23.0,16.0,0.011,0.027,0.6,0.0,57.0
136,중랑구,2021-01-01 20:00,27.0,16.0,0.009,0.044,0.6,0.004,172.0
137,동대문구,2021-01-01 20:00,21.0,16.0,0.018,0.028,0.5,0.003,55.0
138,성북구,2021-01-01 20:00,28.0,16.0,0.012,0.029,0.0,0.003,84.0
140,영등포구,2021-01-01 20:00,24.0,18.0,0.005,0.043,0.7,0.003,56.0
141,동작구,2021-01-01 20:00,30.0,22.0,0.013,0.034,0.5,0.003,139.0
142,관악구,2021-01-01 20:00,35.0,23.0,0.006,0.046,0.8,0.004,349.0
143,금천구,2021-01-01 20:00,0.0,0.0,0.004,0.043,0.7,0.002,0.0
144,강서구,2021-01-01 20:00,30.0,20.0,0.009,0.039,0.4,0.007,36.0
145,양천구,2021-01-01 20:00,32.0,19.0,0.005,0.047,0.7,0.004,88.0
146,구로구,2021-01-01 20:00,27.0,19.0,0.011,0.038,0.5,0.004,65.0
147,강남구,2021-01-01 20:00,27.0,17.0,0.018,0.026,0.5,0.004,97.0
148,서초구,2021-01-01 20:00,25.0,22.0,0.01,0.039,0.5,0.004,254.0
149,송파구,2021-01-01 20:00,25.0,12.0,0.011,0.042,0.6,0.005,0.0
150,강동구,2021-01-01 20:00,28.0,19.0,0.011,0.037,0.6,0.003,14.0
151,종로구,2021-01-02 00:00,34.0,19.0,0.026,0.014,0.5,0.003,23.0
152,용산구,2021-01-02 00:00,35.0,13.0,0.02,0.014,0.4,0.004,98.0
153,중구,2021-01-02 00:00,34.0,20.0,0.023,0.017,0.5,0.004,63.0
154,은평구,2021-01-02 00:00,25.0,19.0,0.018,0.021,0.6,0.004,143.0
156,마포구,2021-01-02 00:00,25.0,16.0,0.015,0.025,0.5,0.003,34.0
157,도봉구,2021-01-02 00:00,23.0,16.0,0.029,0.009,0.3,0.003,13.0
158,노원구,2021-01-02 00:00,31.0,17.0,0.026,0.017,0.5,0.004,78.0
159,광진구,2021-01-02 00:00,28.0,17.0,0.018,0.016,0.6,0.0,14.0
161,중랑구,2021-01-02 00:00,31.0,15.0,0.021,0.021,0.5,0.004,36.0
162,동대문구,2021-01-02 00:00,27.0,17.0,0.024,0.017,0.5,0.004,11.0
163,성북구,2021-01-02 00:00,27.0,16.0,0.022,0.018,0.0,0.004,10.0
165,영등포구,2021-01-02 00:00,29.0,18.0,0.019,0.019,0.6,0.003,11.0
166,동작구,2021-01-02 00:00,34.0,20.0,0.021,0.022,0.4,0.004,17.0
